case_id	state_id	state_na	year	tisp	tiss	tisviol	vio_l1	cri_l1	inc_rate	pre_guid	pre_volg	pre_par	rec_sent	presum_s	pre_rec_	det_vol	det_pre	incpc_l1	admissio	ncourtc	m1_weap	m2_prox	m3_offic	m4_harm	m5_cont	m6_citi	m7_repe	m8_mult	m9_drug	m10_we1a	m11_we1b	m12_we1c	m13_we1d	m14_we1e	m15_we1f	m16_we2a	m17_we2b	m18_we2c	m19_we2d	m20_we2e	m21_we2f	m22_we3a	m23_we3b	m24_we3c	m25_we3d	m26_we3e	m27_we3f	m28_we4a	m29_we4b	m30_we4c	m31_we4d	m32_we4e	m33_we4f	m34_dr1a	m35_dr1b	m36_dr1c	m37_dr1d	m38_dr1e	m39_dr1f	m40_dr2a	m41_dr2b	m42_dr2c	m43_dr2d	m44_dr2e	m45_dr2f	m46_dr3a	m47_dr3b	m48_dr3c	m49_dr3d	m50_dr3e	m51_dr3f	m52_vi1a	m53_vi1b	m54_vi1c	m55_vi1d	m56_vi1e	m57_vi1f	m58_vi2a	m59_vi2b	m60_vi2c	m61_vi2d	m62_vi2e	m63_vi2f	dr_0a	dr_0b	mar_spos	mar_ssal	her_spos	her_ssal	dr_1a	dr_1b	dr_2a	dr_2b	he_min1o	he_min_1	mar_min_	mar_mi_1	dr_3coc	dr_3mar	dr_3oth	hol_drug	hol_vio	hol_sex	hol_2str	hol2_pro	hol2_cuo	hol2_alt	hol2_man	hol2_st1	hol2_st2	hol2_st3	prior2	time_fr2	hol_3str	hol3_pro	hol3_cuo	hol3_alt	hol3_man	hol3_st1	hol3_st2	hol3_st3	prior3	time_fr3	unemp_l1	p_1824_l	p_25_34_	p_black_	d_1975	d_1978	d_1981	d_1984	d_1987	d_1990	d_1993	d_1996	d_1999	d_2002	metro_l1	poverty_	p_hisp_l	expcorr_	pop_l1	correxp_	d_inc_ra	lag_incr	rev_l2_1	wel_l1_1	pro_crim	south	west	east	midwest	religion	gini	pol_100k	adm_100k	court_10	ideo2	gov2	drug_arr	cop_75	cop_78	cop_81	cop_84	cop_87	cop_90	cop_93	cop_96	cop_99	unemp_75	unemp_78	unemp_81	unemp_84	unemp_87	unemp_90	unemp_93	unemp_96	unemp_99	pov_75	pov_78	pov_81	pov_84	pov_87	pov_90	pov_93	pov_96	pov_99	black_75	black_78	black_81	black_84	black_87	black_90	black_93	black_96	black_99	welf_75	welf_78	welf_81	welf_84	welf_87	welf_90	welf_93	welf_96	welf_99	pro_drug	govern	drugs3_7	drugs3_1	drugs3_8	drugs3_2	drugs3_3	drugs3_9	drugs3_4	drugs3_5	drugs3_6	ideo2_75	ideo2_78	ideo2_81	ideo2_84	ideo2_87	ideo2_90	ideo2_93	ideo2_96	ideo2_99	gov2_75	gov2_78	gov2_81	gov2_84	gov2_87	gov2_90	gov2_93	gov2_96	gov2_99	gov2_02	ideo2_02	cop_02	unemp_02	pov_02	drugs3_0	ipc_02	welf_02	black_02	hisp_75	hisp_78	hisp_81	hisp_84	hisp_87	hisp_90	hisp_93	hisp_96	hisp_99	hisp_02	res2	res1	EST_FI	ln_vio	ln_pro	ln_hisp	res	p_black3	det_rec_	det_pre_	black3_8	black3_9	south_81	south_90	ln_inc	log_inco	g_south	g_det_se	g_court	g_south8	g_south9	g_south0	black3_0	g_metro	g_unemp	g_ideo2	g_ideo3	g_vio	g_ln_vio	inc2	det_pres	preguid_	pregui_1	dt_guidr	dt_guidn	mand_sum	nt_logir	resid1	resid2	resid3	resid4	new_yr	st2_mand	EST_RA
3	1	Alabama	1972	999	9	9	311.399993896484	1892.59997558594	103.5	0	0	0	0	0	0	0	0	11873	2161	99999	99	99	99	99	99	99	99	99	99	0	9	9	9	99	999	0	9	9	9	99	9999	0	9	9	9	99	999	0	9	9	9	99	999	9	9	9	9	99	999	0	9	9	9	99	999	0	9	9	9	99	999	0	9	9	9	99	999	0	9	9	9	9	9	9	9	9	9	9	9	999	9999	999	999	999	999	99	99	99	99	99	0	0	0	9	9	9	9	9	9	9	9999	9	9	9	9	9	9	9	9	9	9999	9	9	5.30000019073486	12.3500003814697	11.8999996185303	26.2000007629395	0	0	0	0	0	0	0	0	0	0	52.2999992370606	24.5100002288818	.300000011920929	60.82	3497	1739.205078125	999	999	157525	27606	1581.1	1	0	0	0	32.2999992370606	.39300000667572	167.143264770508	61.7958259582519	999	22.9388599395752	30.0886497497559	9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0480000004172325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71879863739014	4.71879863739014	1	5.74107837677002	7.36587619781494	-1.20397281646728	-43.5220832824707	2.97000002861023	0	0	0	0	0	0	4.67000007629395	9.3820219039917	1	0	1	0	0	0	0	66	4.5	13.9156303405762	16.0525207519531	295.700012207031	5.68934535980225	8.89453315734863	0	0	0	0	0	99	4.63957166671753	375.955780029297	4.86138153076172	999	9	1992	0	0
6	1	Alabama	1975	33	1	0	372.899993896484	3000.10009765625	121	0	0	0	0	0	0	0	0	13412	2716	1954	0	0	1	1	1	0	2	1	0	0	9	9	9	99	999	0	9	9	9	99	9999	0	9	9	9	99	999	0	9	9	9	99	999	1	0	0	0	99	999	0	9	9	9	99	999	0	9	9	9	99	999	0	9	9	9	99	999	0	9	9	9	9	9	1	1	1	1	1	1	180	180	24	30	24	24	24	24	0	4	4	0	0	0	1	1	1	1	0	0	0	240	1	1	0	9	9	9	9	9	9	9999	9	9	5.5	12.75	13.3299999237061	25.6000003814697	1	0	0	0	0	0	0	0	0	0	61.7000007629394	16.1800003051758	.519999980926514	81.47	3627	2246.208984375	17.5	103.5	185251	21669	2627.2	1	0	0	0	32.2999992370606	.39300000667572	196.636337280273	74.8828201293946	53.8737258911133	21.1163806915283	30.5	9999	196.636337280273	0	0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	15.9499998092651	0	0	0	0	0	0	0	0	25.6000003814697	0	0	0	0	0	0	0	0	216692	0	0	0	0	0	0	0	0	.0480000004172325	0	.0480000004172325	0	0	0	0	0	0	0	0	21.1163806915283	0	0	0	0	0	0	0	0	30.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.519999980926514	0	0	0	0	0	0	0	0	0	4.90897560119629	4.90897560119629	1	5.92131042480469	7.87367391586304	-.653926491737366	-72.2536315917969	2.95000004768372	0	0	0	0	0	0	9	9.50390529632568	1	9	9	0	0	0	0	999	99	99	99	9999	9	99	0	0	0	0	0	1	4.79579067230225	416.614013671875	5.08402872085571	245.737045288086	4.74638748168945	1993	0	1
9	1	Alabama	1978	33	1	1	414.440002441406	3712.60009765625	144	0	0	0	0	0	0	0	0	14717	2815	2263	0	0	0	0	0	0	1	0	0	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	0	0	0	6	0	0	9	9	9	99	999	0	9	9	9	99	999	1	1	0	0	9	0	0	9	9	9	9	9	1	1	1	1	1	1	180	180	24	30	24	24	24	24	0	4	4	0	0	0	1	1	1	0	0	0	0	240	1	1	0	9	9	9	9	9	9	9999	9	9	7.40000009536743	13.2299995422363	14.6300001144409	25.5	0	1	0	0	0	0	0	0	0	0	62	19.0300006866455	.740000009536743	95.81	3783	2532.64599609375	23	121	210826	25396	3298.2	1	0	0	0	32.7999992370606	.384999990463257	216.362670898437	74.4118423461914	59.8202476501465	27.8493099212646	28.25	294.158508300781	0	216.362670898437	0	0	0	0	0	0	0	0	7.40000009536743	0	0	0	0	0	0	0	0	18.6100006103516	0	0	0	0	0	0	0	0	25.5	0	0	0	0	0	0	0	0	253961	0	0	0	0	0	0	0	.0480000004172325	0	0	.0480000004172325	0	0	0	0	0	0	0	0	27.8493099212646	0	0	0	0	0	0	0	0	28.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.740000009536743	0	0	0	0	0	0	0	0	5.13017225265503	5.13017225265503	1	6.02692842483521	8.1011323928833	-.301105082035065	-61.9684257507324	2.94000005722046	0	0	0	0	0	0	9	9.59675884246826	1	9	9	0	0	0	0	999	99	99	99	9999	9	99	0	0	0	0	0	0	4.96981334686279	437.729339599609	5.29142951965332	290.548034667969	4.85515594482422	1994	0	1
12	1	Alabama	1981	33	1	1	448.529998779297	4933.64013671875	183	0	0	0	0	0	0	0	0	15818	4025	4006	2	0	0	0	0	0	1	0	9	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	0	0	0	6	0	0	9	9	9	99	999	0	9	9	9	99	999	1	1	0	0	9	0	0	9	9	9	9	9	4	4	4	4	4	4	180	180	36	36	120	120	24	24	7	7	7	0	0	0	1	1	1	1	0	1	1	240	1	1	1	1	1	1	0	1	1	999	1	1	8.80000019073486	13.2299995422363	15.3800001144409	25.6000003814697	0	0	1	0	0	0	0	0	0	0	63	21.2000007629395	.855000019073486	148.14	3891	3807.24755859375	39	144	223548	28886	4485.1	1	0	0	0	32.7999992370606	.384999990463257	224.235412597656	103.44384765625	102.955535888672	29.2209606170654	36.75	263.585601806641	0	0	224.235412597656	0	0	0	0	0	0	0	0	8.80000019073486	0	0	0	0	0	0	0	0	21.2000007629395	0	0	0	0	0	0	0	0	25.6000003814697	0	0	0	0	0	0	0	0	288863	0	0	0	0	0	0	.0439999997615814	0	0	0	.0439999997615814	0	0	0	0	0	0	0	0	29.2209606170654	0	0	0	0	0	0	0	0	36.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.855000019073486	0	0	0	0	0	0	0	5.28781604766846	5.28781604766846	1	6.10597562789917	8.40851593017578	-.156653791666031	-39.5122299194336	2.95000004768372	0	0	2.95000004768372	0	1	0	5.30000019073486	9.66890335083008	1	0	1	1	0	0	0	63	8.80000019073486	29.8356895446777	29.2209606170654	448.529998779297	6.10597562789917	9.19786262512207	0	0	0	0	0	2	5.20948600769043	448.075347900391	5.42078065872192	346.380249023438	5.03147792816162	1995	0	1
15	1	Alabama	1984	33	1	1	416.040008544922	4101.06005859375	256	0	0	0	0	0	0	0	0	15990	4755	4448	2	0	0	0	0	0	2	0	9	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	0	0	0	6	0	0	9	9	9	99	999	0	9	9	9	99	999	1	1	0	0	9	0	0	9	9	9	9	9	4	4	4	4	4	4	180	180	36	36	120	120	24	24	7	7	7	0	0	0	1	1	1	1	0	1	1	240	1	1	1	1	1	1	0	1	1	999	1	1	13.6999998092651	12.8100004196167	16.4500007629395	25.5	0	0	0	1	0	0	0	0	0	0	63	22.8999996185303	.75	186.99	3963	4718.39501953125	73	183	274340	23894	3685	1	0	0	0	32.7999992370606	.384999990463257	228.463287353516	119.98486328125	112.238204956055	35.0921401977539	52.1666717529297	183.711898803711	0	0	0	228.463287353516	0	0	0	0	0	0	0	0	13.6999998092651	0	0	0	0	0	0	0	0	22.8999996185303	0	0	0	0	0	0	0	0	25.5	0	0	0	0	0	0	0	0	238940	0	0	0	0	0	.0399999991059303	0	0	0	0	.0399999991059303	0	0	0	0	0	0	0	0	35.0921401977539	0	0	0	0	0	0	0	0	52.1666717529297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.75	0	0	0	0	0	0	5.5670485496521	5.5670485496521	1	6.03078126907349	8.21202564239502	-.287682086229324	-16.5820426940918	2.94000005722046	0	0	0	0	0	0	9	9.67971897125244	1	9	9	0	0	0	0	999	99	99	99	9999	9	99	0	0	0	0	0	2	5.5451774597168	478.160583496094	5.6396951675415	376.317504882813	5.28795766830444	1996	0	1
18	1	Alabama	1987	33	1	1	558.010009765625	4288.35009765625	307	0	0	0	0	0	0	0	0	17772	4843	3824	2	1	0	0	0	1	2	0	9	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	1	0	0	9	0	0	9	9	9	99	999	1	1	1	0	9	120	1	1	0	0	9	0	0	9	9	9	9	9	5	5	5	5	5	5	120	240	36	36	120	120	0	24	8	8	8	0	0	0	1	1	1	1	0	1	1	240	1	1	1	1	1	1	0	1	1	999	1	1	9.80000019073486	11.9700002670288	17.2800006866455	25.2999992370605	0	0	0	0	1	0	0	0	0	0	64	23.7999992370605	.686999976634979	261.82	4051	6463.095703125	51	256	261823	28935	3730.3	1	0	0	0	35.0999984741211	.418000012636185	228.363372802734	119.550727844238	94.3964462280273	37.7912483215332	49.75	171.508102416992	0	0	0	0	228.363372802734	0	0	0	0	0	0	0	0	9.80000019073486	0	0	0	0	0	0	0	0	23.7999992370605	0	0	0	0	0	0	0	0	25.2999992370605	0	0	0	0	0	0	0	0	289347	0	0	0	0	.0410000011324883	0	0	0	0	0	.0410000011324883	0	0	0	0	0	0	0	0	37.7912483215332	0	0	0	0	0	0	0	0	49.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.686999976634979	0	0	0	0	0	5.72446393966675	5.72446393966675	1	6.32437705993652	8.22424411773682	-.375421017408371	14.3351488113403	2.94000005722046	0	0	0	0	0	0	9	9.78537940979004	1	9	9	0	0	0	0	999	99	99	99	9999	9	99	0	0	0	0	0	3	5.7268476486206	521.944641113281	5.95759677886963	455.936645507813	5.62655067443848	1997	0	1
21	1	Alabama	1990	33	1	1	590.799987792969	4627.7998046875	370	0	0	0	0	0	0	0	0	19689	7291	5011	2	2	0	0	0	1	3	2	0	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	1	0	0	9	0	0	9	9	9	99	999	1	1	1	0	9	120	1	1	0	0	9	0	0	9	9	9	9	9	5	5	5	5	5	5	120	240	36	36	120	120	0	24	9	9	9	0	0	0	1	1	1	1	0	1	1	240	1	1	1	1	1	1	0	1	1	999	1	1	7	11.1400003433228	17.5400009155273	25.2999992370605	0	0	0	0	0	1	0	0	0	0	67	18.8999996185303	.625	262.53	4030	6514.39208984375	63	307	343575	34706	4037	1	0	0	0	35.0999984741211	.418000012636185	270.248138427734	180.918121337891	124.342430114746	37.4721717834473	31.7321395874023	380.703399658203	0	0	0	0	0	270.248138427734	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	18.8999996185303	0	0	0	0	0	0	0	0	25.2999992370605	0	0	0	0	0	0	0	0	347064	0	0	0	.0529999993741512	1	0	0	0	0	0	.0529999993741512	0	0	0	0	0	0	0	0	37.4721717834473	0	0	0	0	0	0	0	0	31.7321395874023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.625	0	0	0	0	6.01002645492554	6.01002645492554	1	6.38147735595703	8.30325698852539	-.470003634691238	7.07549667358398	2.94000005722046	0	0	0	2.94000005722046	0	1	5.98999977111816	9.88781547546387	1	0	1	0	1	0	0	67	7.19999980926514	37.4721717834473	33.8357696533203	708.559997558594	6.56323480606079	9.34888458251953	0	0	0	0	0	3	5.91350317001343	594.971984863281	6.20810747146606	515.521118164063	5.87488746643066	1998	0	1
24	1	Alabama	1993	33	1	1	871.659973144531	5268.10986328125	431	0	0	0	0	0	0	0	0	20751	8740	6491	3	2	0	0	0	1	3	2	20	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	1	0	0	9	0	0	9	9	9	99	999	1	1	1	0	9	120	1	1	0	0	9	0	0	9	9	9	9	9	5	5	5	5	5	5	120	240	36	36	120	120	0	24	9	9	9	0	0	0	1	1	1	1	0	1	1	240	1	1	1	1	1	1	0	1	1	999	1	1	7.40000009536743	10.8500003814697	15.4399995803833	25.5	0	0	0	0	0	0	1	0	0	0	67	17.1000003814697	.638999998569489	308.3	4131	7463.083984375	61	370	307414	56352	4396.4	1	0	0	0	35.0999984741211	.418000012636185	296.51416015625	211.571044921875	157.129028320313	39.6220283508301	34.5714302062988	228.24169921875	0	0	0	0	0	0	296.51416015625	0	0	0	0	0	0	0	0	7.40000009536743	0	0	0	0	0	0	0	0	17.1000003814697	0	0	0	0	0	0	0	0	25.5	0	0	0	0	0	0	0	0	563517	0	0	.046000000089407	1	0	0	0	0	0	0	.046000000089407	0	0	0	0	0	0	0	0	39.6220283508301	0	0	0	0	0	0	0	0	34.5714302062988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.638999998569489	0	0	0	6.31069326400757	6.31069326400757	1	6.77039957046509	8.38854122161865	-.447850823402405	-6.05142450332642	2.94000005722046	0	0	0	0	0	0	9	9.94034957885742	1	9	9	0	0	0	0	999	99	99	99	9999	9	99	0	0	0	0	0	4	6.06610822677612	665.824096679688	6.4130597114563	569.675415039063	6.07049655914307	1999	0	1
27	1	Alabama	1996	33	1	1	632.349975585938	4848.06005859375	492	0	0	0	0	0	0	0	0	22322	9750	7477	3	2	0	0	0	1	3	2	20	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	1	0	0	9	0	0	9	9	9	99	999	1	1	1	0	9	120	1	1	0	0	9	0	0	9	9	9	9	9	5	5	5	5	5	5	120	240	36	36	120	120	0	24	9	9	9	0	0	0	1	1	1	1	0	1	1	240	1	1	1	1	1	1	0	1	1	999	1	1	6.30000019073486	10.3699998855591	14.8299999237061	25.7999992370605	0	0	0	0	0	0	0	1	0	0	68	20.1000003814697	.774999976158142	360.32	4253	8472.1376953125	61	431	330040	63151	4215.7	1	0	0	0	35.0999984741211	.418000012636185	256.078063964844	229.249938964844	175.805313110352	33.4300003051758	35.3250007629394	277.748413085938	0	0	0	0	0	0	0	256.078063964844	0	0	0	0	0	0	0	0	6.30000019073486	0	0	0	0	0	0	0	0	20.1000003814697	0	0	0	0	0	0	0	0	25.7999992370605	0	0	0	0	0	0	0	0	631511	0	.0599999986588955	1	0	0	0	0	0	0	0	.0599999986588955	0	0	0	0	0	0	0	0	33.4300003051758	0	0	0	0	0	0	0	0	35.3250007629394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.774999976158142	0	0	6.32108545303345	6.32108545303345	1	6.44944286346436	8.34657096862793	-.254892289638519	40.3933029174805	2.95000004768372	0	0	0	0	0	0	9	10.0133275985718	1	9	9	0	0	0	0	999	99	99	99	9999	9	99	0	0	0	0	0	4	6.19847869873047	672.217468261719	6.52714395523071	589.116149902344	6.19914770126343	2000	0	1
30	1	Alabama	1999	33	1	1	512.090026855469	4597.080078125	549	0	0	0	0	0	0	0	0	23615	8282	99999	3	2	0	0	0	1	3	2	20	0	9	9	9	99	999	0	9	9	9	99	9999	1	1	0	0	9	60	1	1	0	0	9	0	1	1	0	0	9	0	0	9	9	9	99	999	1	1	1	0	9	120	1	1	0	0	9	0	0	9	9	9	9	9	5	5	5	5	5	5	120	240	36	36	120	120	0	24	9	9	9	0	0	0	1	1	1	1	0	1	1	240	1	1	1	1	1	1	0	1	1	999	1	1	4.19999980926514	10.0200004577637	14.25	26	0	0	0	0	0	0	0	0	1	0	70	14.5	.977999985218048	392.3	4351	9016.318359375	57	492	362301	76619	4085	1	0	0	0	34.0999984741211	.435000002384186	281.521484375	999	999	41.340030670166	45.125	406.104614257813	0	0	0	0	0	0	0	0	281.521484375	0	0	0	0	0	0	0	0	4.19999980926514	0	0	0	0	0	0	0	0	14.5	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	766192	.0719999969005585	0	0	0	0	0	0	0	0	0	.0719999969005585	0	0	0	0	0	0	0	0	41.340030670166	0	0	0	0	0	0	0	0	45.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.977999985218048	0	6.38262891769409	6.38262891769409	1	6.23850059509277	8.31507682800293	-.0222456231713295	45.3495063781738	2.96000003814697	0	0	0	0	0	0	9	10.069637298584	1	9	9	0	0	0	0	999	99	99	99	9999	9	99	0	0	0	0	0	4	6.30809831619263	719.085205078125	6.50560331344604	626.682556152344	6.17839002609253	2001	0	1
