state_co	state_id	year	year2	year3	ch_inc_r	ch_unemp	ch_1824	ch_2534	ch_rev10	ch_wel10	ch_vio	ch_pro	ch_black	ch_hisp	ch_metro	ch_pover	ch_relig	ch_gini	ch_pol10	ch_incom	ch_ideo	ch_drugs	ch_gover	ch_pregu	ch_volgu	ch_detse	ch_detpr	ch_detvo	ch_tisp	ch_tisvi	ch_2stk	ch_3stk	ch_dr1a	ch_dr1b	ch_dr2a	ch_dr2b	ch_cocen	ch_mands	lg_inc_r	lg_unemp	lg_1824	lg_2534	lg_rev10	lg_wel10	lg_vio	lg_pro	lg_black	lg_hisp	lg_metro	lg_pover	lg_relig	lg_gini	lg_pol10	lg_incom	lg_ideo	lg_drugs	lg_gover	lg_pregu	lg_volgu	lg_detse	lg_detpr	lg_detvo	lg_tisp	lg_tisvi	lg_2stk	lg_3stk	lg_dr1a	lg_dr1b	lg_dr2a	lg_dr2b	lg_cokee	lg_mands	d_1978	d_1981	d_1984	d_1987	d_1990	d_1993	d_1996	d_1999	d_2002	EST_RA
1	Alabama	1975	75-72	1975	17.5	.200000002980232	.400000005960464	1.42999994754791	27726	-5937	61.5	1046.09997558594	-.600000023841858	.219999998807907	9.39999961853027	-8.32999992370605	0	0	29.4930000305176	1539	-44.0552406311035	0	0	0	0	0	0	0	33	0	1	0	180	180	24	30	0	1	103.5	5.30000019073486	12.3500003814697	11.8999996185303	157525	27606	311.399993896484	1581.09997558594	26.2000007629395	.300000011920929	52.2999992370606	24.5100002288818	32.2999992370606	.39300000667572	167.143295288086	11873	22.9388599395752	.0480000004172325	0	0	0	0	0	0	999	9	9	9	999	9999	999	999	99	99	0	0	0	0	0	0	0	0	0	1
1	Alabama	1978	78-75	1976	23	1.89999997615814	.479999989271164	1.29999995231628	25575	3727	41.5400009155274	671	-.100000001490116	.219999998807907	.300000011920929	2.84999990463257	.5	-.00800000037997961	19.7264003753662	1305	-48.965690612793	1305	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	121	5.5	12.75	13.3299999237061	185251	21669	372.899993896484	2627.19995117187	25.6000003814697	.519999980926514	61.7000007629394	16.1800003051758	32.2999992370606	.39300000667572	196.636306762695	13412	21.1163806915283	.0480000004172325	0	0	0	0	0	0	33	0	1	0	180	180	24	30	0	1	1	0	0	0	0	0	0	0	0	1
1	Alabama	1981	81-78	1977	39	1.39999997615814	0	.75	12722	3490	34.0900001525879	1186.90002441406	.100000001490116	.115000002086163	1	2.17000007629395	0	0	7.87270021438599	1101	-57.0702705383301	1101	0	0	0	0	0	0	0	0	0	1	0	0	12	6	7	2	144	7.40000009536743	13.2299995422363	14.6300001144409	210826	25396	414.440002441406	3298.19995117187	25.5	.740000009536743	62	19.0300006866455	32.7999992370606	.384999990463257	216.362701416016	14717	27.8493099212646	.0480000004172325	0	0	0	0	0	0	33	1	1	0	180	180	24	30	0	0	0	1	0	0	0	0	0	0	0	1
1	Alabama	1984	84-87	1978	73	4.90000009536743	-.419999986886978	1.07000005245209	50792	-4992	-32.4900016784668	-800.099975585938	-.100000001490116	-.104999996721745	0	1.70000004768372	0	0	4.22790002822876	172	-64.313102722168	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	8.80000019073486	13.2299995422363	15.3800001144409	223548	28886	448.529998779297	4485.10009765625	25.6000003814697	.855000019073486	63	21.2000007629395	32.7999992370606	.384999990463257	224.235397338867	15818	29.2209606170654	.0439999997615814	0	0	0	0	0	0	33	1	1	1	180	180	36	36	7	2	0	0	1	0	0	0	0	0	0	1
1	Alabama	1987	87-84	1979	51	-3.90000009536743	-.839999973773956	.829999983310699	-12517	5041	141.970001220703	45.2999992370606	-.200000002980232	-.063000001013279	1	.899999976158142	2.29999995231628	.0329999998211861	-.0998999997973442	1782	-72.8833923339843	1782	0	0	0	0	0	0	0	0	0	0	-60	60	0	0	1	1	256	13.6999998092651	12.8100004196167	16.4500007629395	274340	23894	416.040008544922	3685	25.5	.75	63	22.8999996185303	32.7999992370606	.384999990463257	228.463302612305	15990	35.0921401977539	.0399999991059303	0	0	0	0	0	0	33	1	1	1	180	180	36	36	7	2	0	0	0	1	0	0	0	0	0	1
1	Alabama	1990	90-87	1980	63	-2.79999995231628	-.829999983310699	.259999990463257	81752	5771	32.7900009155274	306.700012207031	0	-.061999998986721	3	-4.90000009536743	0	0	41.8847007751465	1917	-75.2634201049805	1917	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	307	9.80000019073486	11.9700002670288	17.2800006866455	261823	28935	558.010009765625	3730.30004882813	25.2999992370605	.686999976634979	64	23.7999992370605	35.0999984741211	.418000012636185	228.363403320313	17772	37.7912483215332	.0410000011324883	0	0	0	0	0	0	33	1	1	1	120	240	36	36	8	3	0	0	0	0	1	0	0	0	0	1
1	Alabama	1993	93-90	1981	61	.400000005960464	-.28999999165535	-2.09999990463257	-36161	21646	280.859985351563	359.399993896484	.200000002980232	.0140000004321337	0	-1.79999995231628	0	0	26.2660999298096	1062	-77.0942001342773	1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	370	7	11.1400003433228	17.5400009155273	343575	34706	590.799987792969	4037	25.2999992370605	.625	67	18.8999996185303	35.0999984741211	.418000012636185	270.248107910156	19689	37.4721717834473	.0529999993741512	1	0	0	0	0	0	33	1	1	1	120	240	36	36	9	3	0	0	0	0	0	1	0	0	0	1
1	Alabama	1996	96-90	1982	61	-1.10000002384186	-.479999989271164	-.610000014305115	22626	6799	-239.309997558594	-180.699996948242	.300000011920929	.136000007390976	1	3	0	0	-40.4361000061035	1571	-73.0520324707031	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	7.40000009536743	10.8500003814697	15.4399995803833	307414	56352	871.659973144531	4396.39990234375	25.5	.638999998569489	67	17.1000003814697	35.0999984741211	.418000012636185	296.514190673828	20751	39.6220283508301	.046000000089407	1	0	0	0	0	0	33	1	1	1	120	240	36	36	9	4	0	0	0	0	0	0	1	0	0	1
1	Alabama	1999	99-96	1983	57	-2.09999990463257	-.349999994039536	-.579999983310699	32261	13468	-120.26000213623	-130.699996948242	.200000002980232	.202999994158745	2	-5.59999990463257	-1	.017000000923872	25.4433994293213	1293	-74.7700271606445	1293	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	6.30000019073486	10.3699998855591	14.8299999237061	330040	63151	632.349975585938	4215.7001953125	25.7999992370605	.774999976158142	68	20.1000003814697	35.0999984741211	.418000012636185	256.078094482422	22322	33.4300003051758	.0599999986588955	1	0	0	0	0	0	33	1	1	1	120	240	36	36	9	4	0	0	0	0	0	0	0	1	0	1
1	Alabama	2002	02-99	1984	63	1.10000002384186	.0299999993294477	-.850000023841858	33382	8904	-73.4899978637695	-204.199996948242	.300000011920929	.941999971866608	-.100000001490116	1.39999997615814	0	0	10.9455995559692	1208	-76.1886901855469	1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	4.19999980926514	10.0200004577637	14.25	362301	76619	512.090026855469	4085	26	.977999985218048	70	14.5	34.0999984741211	.435000002384186	281.521514892578	23615	41.340030670166	.0719999969005585	0	0	0	0	0	0	33	1	1	1	120	240	36	36	9	4	0	0	0	0	0	0	0	0	1	1
2	Alaska	1975	75-72	1975	-5.59999990463257	-2.20000004768372	-.119999997317791	2.02999997138977	-1112910	2180	97.8000030517578	2262	.180000007152557	-.25	43.7000007629394	-4.34000015258789	0	0	67.1962966918945	3688	-125.633041381836	3688	1	0	0	0	0	0	33	0	0	0	120	120	24	24	4	3	61	9.89999961853027	14.5299997329712	16.7299995422363	1608640	35297	355.299987792969	2524.60009765625	3	2	0	11.0799999237061	7.5	.36599999666214	235.442993164063	18750	70.2639694213867	.0399999991059303	0	0	0	0	0	0	999	9	9	9	999	9999	999	999	99	99	0	0	0	0	0	0	0	0	0	1
2	Alaska	1978	78-75	1976	71.5999984741211	1.70000004768372	1.47000002861023	.839999973773956	329571	-458	-9.85999965667725	668.200012207031	.119999997317791	-.25	.300000011920929	3.86999988555908	-.200000002980232	.00300000002607703	37.5121994018555	5274	-99.6876907348633	5274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	55.4000015258789	7.69999980926514	14.4099998474121	18.7600002288818	495730	37477	453.100006103516	4786.60009765625	3.1800000667572	1.75	43.7000007629394	6.73999977111816	7.5	.36599999666214	302.639312744141	22438	55.369068145752	.0399999991059303	1	0	0	0	0	0	33	0	0	0	120	120	24	24	4	3	1	0	0	0	0	0	0	0	0	1
