"state_na","state_ab"
"Alabama","AL"
"Alaska","AK"
"Arizona","AZ"
"Arkansas","AR"
"California","CA"
"Colorado","CO"
"Connecticu","CT"
"Delaware","DE"
"District of Columbia","DC"
"Florida","FL"
"Georgia","GA"
"Hawaii","HI"
"Idaho","ID"
"Illinois","IL"
"Indiana","IN"
"Iowa","IA"
"Kansas","KS"
"Kentucky","KY"
"Louisiana","LA"
"Maine","ME"
"Montana","MT"
"Nebraska","NE"
"Nevada","NV"
"New Hampsh","NH"
"New Jersey","NJ"
"New Mexico","NM"
"New York","NY"
"North Caro","NC"
"North Dako","ND"
"Ohio","OH"
"Oklahoma","OK"
"Oregon","OR"
"Maryland","MD"
"Massachuse","MA"
"Michigan","MI"
"Minnesota","MN"
"Mississipp","MS"
"Missouri","MO"
"Pennsylvan","PA"
"Rhode Isla","RI"
"South Caro","SC"
"South Dako","SD"
"Tennessee","TN"
"Texas","TX"
"Utah","UT"
"Vermont","VT"
"Virginia","VA"
"Washington","WA"
"West Virgi","WV"
"Wisconsin","WI"
"Wyoming","WY"
