cat	subcat	var	descr	missing	vartype
Outcome	Incarceration rate	inc_rate	Incarceration rate per 100,000 residents	-1	quant
Outcome	Incarceration rate	lag_incr	Incarceration rate lagged 1 yr	999	quant
Outcome	Incarceration rate	d_inc_ra	Difference in incarc rate (t1) - incarc rate (t0)	999	quant
Outcome	Prison admissions	admissio	Prison admissions	999999	quant
Outcome	Prison admissions	adm_100k	Prison admissions per 100k res	999	quant
Outcome	Court commitments	ncourtc	New court commitments	99999	quant
Outcome	Court commitments	court_10	Court commitments per 100k residents	999	quant
Outcome	Drug arrests	drug_arr	Rate of drug arrests lagged 1 yr (arrests per capita)	9999	quant
Outcome	Drug arrests	pro_drug	Drug arrests 3-yr avg (drug arrests/total arrests)	9	quant
Outcome	Crime rates	cri_l1	Crime rate lagged 1 yr	-1	quant
Outcome	Crime rates	vio_l1	Violent crime rate lagged 1 yr	-1	quant
Outcome	Crime rates	pro_crim	Property crime rate lagged 1yr	-1	quant
Control	Geography	state_na	State name	-1	cat
Control	Geography	south	Southern state	-1	cat
Control	Geography	west	Western state	-1	cat
Control	Geography	east	Eastern state	-1	cat
Control	Geography	midwest	Midwestern state	-1	cat
Control	Time	year	Year	-1	quant
Control	Demographics	pop_l1	Population (thousands) lagged 1yr	-1	quant
Control	Demographics	p_1824_l	Pct population aged 18-24 lagged 1 yr	-1	quant
Control	Demographics	p_25_34_	Pct population aged 25-34 lagged 1 yr	-1	quant
Control	Demographics	p_black_	Pct black pop lagged 1 yr	99	quant
Control	Demographics	p_hisp_l	Pct hispanic pop lagged 1 yr	-1	quant
Control	Demographics	metro_l1	Pct population living in metro areas lagged 1 yr	-1	quant
Control	Economy	incpc_l1	Income per capita lagged 1 yr	-1	quant
Control	Economy	poverty_	Poverty rate lagged 1 yr (census cps historic)	-1	quant
Control	Economy	unemp_l1	Unemployement rate (not seasonally adj) lagged 1 yr	-1	quant
Control	Economy	rev_l2_1	State revenues per 100,000 res in constant US$ lagged 2 yrs	-1	quant
Control	Economy	wel_l1_1	Expenditure on public welfare per 100,000 res in constant US$ lagged 1 yr	-1	quant
Control	Economy	gini	Gini coeffic for families (lower values=more equally distributed income)	-1	quant
Control	Society	religion	Pct of population adhering to a fundamentalist religion	-1	quant
Control	Society	ideo2	Citizen ideology scale lagged 1 yr (higher=more liberal)	-1	quant
Control	Society	gov2	Gov't/instit ideology scale lagged 1 yr (higher=more liberal)	-1	quant
Control	Society	govern	Republican governor	9	cat
Control	Corrections	expcorr_	Direct expenditure on corrections constant US$ lagged 1 yr	-1	quant
Control	Corrections	correxp_	Corrections expenditure per capita	-1	quant
Control	Corrections	pol_100k	Full-time equiv police offic per 100k residents	-1	quant
Sentencing	TIS policy	tisp	Pct sentence imposed most offenders required to serve	999	quant
Sentencing	TIS policy	tiss	Minimum time served requirements	9	cat
Sentencing	TIS policy	tisviol	Separate time served required for violent offenses	9	cat
Sentencing	TIS policy	tisviol_agg	Mandatory sentencing for violent offenses	9	cat
Sentencing	Sentencing structure	pre_guid	Presence of presumptive guidelines (guidelines contained in legislation)	9	cat
Sentencing	Sentencing structure	pre_volg	Presence of voluntary guidelines (judges only use sentences as a guideline but can depart from them)	9	cat
Sentencing	Sentencing structure	pre_par	Presence of determinate sentencing (sentences have a defined length)	9	cat
Sentencing	Sentencing structure	rec_sent	Presence of recommended sentences (assume this means indeterminate sentencing, i.e. has a range)	9	cat
Sentencing	Sentencing structure	presum_s	Presence of presumptive sentences (sentences contained in legislation)	9	cat
Sentencing	Sentencing structure	pre_rec_	Presence of presumptive recommended sentences (assume this means ranges are contained in legislation)	9	cat
Enhancements	Triggers	m1_weap	Total enhancements with weapons as trigger	99	quant
Enhancements	Triggers	m2_prox	Total enhancements with proximity as trigger	99	quant
Enhancements	Triggers	m3_offic	Total enhancements with assault of peace officer as trigger	99	quant
Enhancements	Triggers	m4_harm	Total enhancements with bodily harm & agg assault as trigger	99	quant
Enhancements	Triggers	m5_cont	Total enhancements with violation of supervision as trigger	99	quant
Enhancements	Triggers	m6_citi	Total enhancementw with protected populations as trigger	99	quant
Enhancements	Triggers	m7_repe	Total enhancements with repeated offender as trigger	99	quant
Enhancements	Triggers	m8_mult	Total enhancements with multiple victims as trigger	99	quant
Enhancements	Triggers	m9_drug	Total enhancements with durg quantity as trigger	99	quant
Enhancements	Weapons enhancements	m10_we1a	Presence of mandatory sentence: trigger: against cop/corrections; offense: ?	9	cat
Enhancements	Weapons enhancements	m11_we1b	Requires underlying sentence	9	cat
Enhancements	Weapons enhancements	m12_we1c	Requires judge to impose sentence	9	cat
Enhancements	Weapons enhancements	m13_we1d	Mandatory sentence affects release	9	cat
Enhancements	Weapons enhancements	m14_we1e	Type of mandatory sentence	99	cat
Enhancements	Weapons enhancements	m15_we1f	Min sentencence (months)	999	quant
Enhancements	Weapons enhancements	m16_we2a	Presence of mandatory sentence: trigger: weapon; offense: rape	9	cat
Enhancements	Weapons enhancements	m17_we2b	Requires underlying sentence	9	cat
Enhancements	Weapons enhancements	m18_we2c	Requires judge to impose sentence	9	cat
Enhancements	Weapons enhancements	m19_we2d	Mandatory sentence affects release	9	cat
Enhancements	Weapons enhancements	m20_we2e	Type of mandatory sentence	99	cat
Enhancements	Weapons enhancements	m21_we2f	Min sentencence (months)	9999	quant
Enhancements	Weapons enhancements	m22_we3a	Presence of mandatory sentence: trigger: weapon: offense: robbery	9	cat
Enhancements	Weapons enhancements	m23_we3b	Requires underlying sentence	9	cat
Enhancements	Weapons enhancements	m24_we3c	Requires judge to impose sentence	9	cat
Enhancements	Weapons enhancements	m25_we3d	Mandatory sentence affects release	9	cat
Enhancements	Weapons enhancements	m26_we3e	Type of mandatory sentence	99	cat
Enhancements	Weapons enhancements	m27_we3f	Min sentencence (months)	999	quant
Enhancements	Weapons enhancements	m28_we4a	Presence of mandatory sentence: trigger: weapon: offense: burglary	9	cat
Enhancements	Weapons enhancements	m29_we4b	Requires underlying sentence	9	cat
Enhancements	Weapons enhancements	m30_we4c	Requires judge to impose sentence	9	cat
Enhancements	Weapons enhancements	m31_we4d	Mandatory sentence affects release	9	cat
Enhancements	Weapons enhancements	m32_we4e	Type of mandatory sentence	99	cat
Enhancements	Weapons enhancements	m33_we4f	Min sentencence (months)	999	quant
